:START_ID,:END_ID,:TYPE
130500,130532,CONTAINS
130533,130500,BELONGS_TO
130500,130533,CONTAINS
130534,130500,BELONGS_TO
130500,130534,CONTAINS
130535,130500,BELONGS_TO
130500,130535,CONTAINS
130581,130500,BELONGS_TO
130500,130581,CONTAINS
130582,130500,BELONGS_TO
130500,130582,CONTAINS
130600,130000,BELONGS_TO
130000,130600,CONTAINS
130602,130600,BELONGS_TO
130600,130602,CONTAINS
130606,130600,BELONGS_TO
130600,130606,CONTAINS
130607,130600,BELONGS_TO
130600,130607,CONTAINS
130608,130600,BELONGS_TO
130600,130608,CONTAINS
130609,130600,BELONGS_TO
130600,130609,CONTAINS
130623,130600,BELONGS_TO
130600,130623,CONTAINS
130624,130600,BELONGS_TO
130600,130624,CONTAINS
130626,130600,BELONGS_TO
130600,130626,CONTAINS
130627,130600,BELONGS_TO
130600,130627,CONTAINS
130628,130600,BELONGS_TO
130600,130628,CONTAINS
130629,130600,BELONGS_TO
130600,130629,CONTAINS
130630,130600,BELONGS_TO
130600,130630,CONTAINS
130631,130600,BELONGS_TO
130600,130631,CONTAINS
130632,130600,BELONGS_TO
130600,130632,CONTAINS
130633,130600,BELONGS_TO
130600,130633,CONTAINS
130634,130600,BELONGS_TO
130600,130634,CONTAINS
130635,130600,BELONGS_TO
130600,130635,CONTAINS
130636,130600,BELONGS_TO
130600,130636,CONTAINS
130637,130600,BELONGS_TO
130600,130637,CONTAINS
130638,130600,BELONGS_TO
130600,130638,CONTAINS
130681,130600,BELONGS_TO
130600,130681,CONTAINS
130682,130600,BELONGS_TO
130600,130682,CONTAINS
130683,130600,BELONGS_TO
130600,130683,CONTAINS
130684,130600,BELONGS_TO
130600,130684,CONTAINS
130700,130000,BELONGS_TO
130000,130700,CONTAINS
130702,130700,BELONGS_TO
130700,130702,CONTAINS
130703,130700,BELONGS_TO
130700,130703,CONTAINS
130705,130700,BELONGS_TO
130700,130705,CONTAINS
130706,130700,BELONGS_TO
130700,130706,CONTAINS
130708,130700,BELONGS_TO
130700,130708,CONTAINS
130709,130700,BELONGS_TO
130700,130709,CONTAINS
130722,130700,BELONGS_TO
130700,130722,CONTAINS
130723,130700,BELONGS_TO
130700,130723,CONTAINS
130724,130700,BELONGS_TO
130700,130724,CONTAINS
130725,130700,BELONGS_TO
130700,130725,CONTAINS
130726,130700,BELONGS_TO
130700,130726,CONTAINS
130727,130700,BELONGS_TO
130700,130727,CONTAINS
130728,130700,BELONGS_TO
130700,130728,CONTAINS
130730,130700,BELONGS_TO
130700,130730,CONTAINS
130731,130700,BELONGS_TO
130700,130731,CONTAINS
130732,130700,BELONGS_TO
130700,130732,CONTAINS
130800,130000,BELONGS_TO
130000,130800,CONTAINS
130802,130800,BELONGS_TO
130800,130802,CONTAINS
130803,130800,BELONGS_TO
130800,130803,CONTAINS
130804,130800,BELONGS_TO
130800,130804,CONTAINS
130821,130800,BELONGS_TO
130800,130821,CONTAINS
130822,130800,BELONGS_TO
130800,130822,CONTAINS
130824,130800,BELONGS_TO
130800,130824,CONTAINS
130825,130800,BELONGS_TO
130800,130825,CONTAINS
130826,130800,BELONGS_TO
130800,130826,CONTAINS
130827,130800,BELONGS_TO
130800,130827,CONTAINS
130828,130800,BELONGS_TO
130800,130828,CONTAINS
130881,130800,BELONGS_TO
130800,130881,CONTAINS
130900,130000,BELONGS_TO
130000,130900,CONTAINS
130902,130900,BELONGS_TO
130900,130902,CONTAINS
130903,130900,BELONGS_TO
130900,130903,CONTAINS
130921,130900,BELONGS_TO
130900,130921,CONTAINS
130922,130900,BELONGS_TO
130900,130922,CONTAINS
130923,130900,BELONGS_TO
130900,130923,CONTAINS
130924,130900,BELONGS_TO
130900,130924,CONTAINS
130925,130900,BELONGS_TO
130900,130925,CONTAINS
