START_ID,END_ID,TYPE
center_320,120105,LOCATED_AT
center_321,120116,LOCATED_AT
center_322,120115,LOCATED_AT
center_323,120115,LOCATED_AT
center_324,110114,LOCATED_AT
center_325,110114,LOCATED_AT
center_326,110119,LOCATED_AT
center_327,110101,LOCATED_AT
center_328,110115,LOCATED_AT
center_329,110105,LOCATED_AT
center_330,110111,LOCATED_AT
center_331,110112,LOCATED_AT
center_332,110111,LOCATED_AT
center_333,110115,LOCATED_AT
center_334,110115,LOCATED_AT
center_335,350521,LOCATED_AT
center_336,350000,LOCATED_AT
center_337,500108,LOCATED_AT
center_338,110112,LOCATED_AT
center_339,210106,LOCATED_AT
center_340,350823,LOCATED_AT
center_341,340100,LOCATED_AT
center_342,320200,LOCATED_AT
center_343,130106,LOCATED_AT
center_344,320214,LOCATED_AT
center_345,370214,LOCATED_AT
center_346,120101,LOCATED_AT
center_347,320402,LOCATED_AT
center_348,440802,LOCATED_AT
center_349,331022,LOCATED_AT
center_350,230404,LOCATED_AT
center_351,440307,LOCATED_AT
center_352,140403,LOCATED_AT
center_353,500112,LOCATED_AT
center_354,120102,LOCATED_AT
center_355,350205,LOCATED_AT
center_356,370100,LOCATED_AT
center_357,440111,LOCATED_AT
center_358,310117,LOCATED_AT
center_359,320402,LOCATED_AT
center_360,540102,LOCATED_AT
center_361,440703,LOCATED_AT
center_362,130108,LOCATED_AT
center_363,370502,LOCATED_AT
center_364,110107,LOCATED_AT
center_365,450304,LOCATED_AT
center_366,110112,LOCATED_AT
center_367,440106,LOCATED_AT
center_368,210106,LOCATED_AT
center_369,650100,LOCATED_AT
center_370,410203,LOCATED_AT
center_371,330203,LOCATED_AT
center_372,150902,LOCATED_AT
center_373,430408,LOCATED_AT
center_374,410311,LOCATED_AT
center_375,130609,LOCATED_AT
center_376,650109,LOCATED_AT
center_377,370211,LOCATED_AT
center_378,310112,LOCATED_AT
center_379,510114,LOCATED_AT
center_380,211104,LOCATED_AT
center_381,410100,LOCATED_AT
center_382,130300,LOCATED_AT
center_383,130302,LOCATED_AT
center_384,420606,LOCATED_AT
center_385,150702,LOCATED_AT
center_386,510504,LOCATED_AT
center_387,210300,LOCATED_AT
center_388,230103,LOCATED_AT
center_389,500107,LOCATED_AT
center_390,120104,LOCATED_AT
center_391,320106,LOCATED_AT
center_392,350500,LOCATED_AT
center_393,500106,LOCATED_AT
center_394,330302,LOCATED_AT
center_395,360900,LOCATED_AT
center_396,370600,LOCATED_AT
center_397,500103,LOCATED_AT
center_398,500112,LOCATED_AT
center_399,370112,LOCATED_AT
center_400,440605,LOCATED_AT
center_401,500111,LOCATED_AT
center_402,500103,LOCATED_AT
center_403,510112,LOCATED_AT
center_404,340800,LOCATED_AT
center_405,350700,LOCATED_AT
center_406,370700,LOCATED_AT
center_407,450103,LOCATED_AT
center_408,370612,LOCATED_AT
center_409,500111,LOCATED_AT
center_410,440902,LOCATED_AT
center_411,440800,LOCATED_AT
center_412,320111,LOCATED_AT
center_413,360102,LOCATED_AT
center_414,340304,LOCATED_AT
center_415,110108,LOCATED_AT
center_416,230103,LOCATED_AT
center_417,210300,LOCATED_AT
center_418,340422,LOCATED_AT
center_419,371302,LOCATED_AT
center_420,340321,LOCATED_AT
center_421,320602,LOCATED_AT
center_422,140802,LOCATED_AT
center_423,210300,LOCATED_AT
center_424,340104,LOCATED_AT
center_425,220200,LOCATED_AT
center_426,340104,LOCATED_AT
center_427,500108,LOCATED_AT
center_428,500112,LOCATED_AT
center_429,411221,LOCATED_AT
center_430,500112,LOCATED_AT
center_431,445302,LOCATED_AT
center_432,110114,LOCATED_AT
center_433,130300,LOCATED_AT
center_434,440106,LOCATED_AT
center_435,320707,LOCATED_AT
center_436,440309,LOCATED_AT
center_437,321323,LOCATED_AT
center_438,130926,LOCATED_AT
center_439,430702,LOCATED_AT
center_440,430102,LOCATED_AT
center_441,220100,LOCATED_AT
center_442,110117,LOCATED_AT
center_443,410103,LOCATED_AT
center_444,410105,LOCATED_AT
center_445,410105,LOCATED_AT
center_446,653129,LOCATED_AT
center_447,520603,LOCATED_AT
center_448,440309,LOCATED_AT
center_449,653125,LOCATED_AT
center_450,652800,LOCATED_AT
center_451,361128,LOCATED_AT
center_452,320404,LOCATED_AT
center_453,350203,LOCATED_AT
center_454,110105,LOCATED_AT
center_455,430111,LOCATED_AT
center_456,420102,LOCATED_AT
center_457,370112,LOCATED_AT
center_458,440311,LOCATED_AT
center_459,420104,LOCATED_AT
center_460,450205,LOCATED_AT
center_461,410311,LOCATED_AT
center_462,320500,LOCATED_AT
center_463,442000,LOCATED_AT
center_464,654300,LOCATED_AT
center_465,230103,LOCATED_AT
center_466,120104,LOCATED_AT
center_467,360102,LOCATED_AT
center_468,430104,LOCATED_AT
center_469,230103,LOCATED_AT
center_470,210602,LOCATED_AT
center_471,320500,LOCATED_AT
center_472,440507,LOCATED_AT
center_473,320411,LOCATED_AT
center_474,350212,LOCATED_AT
center_475,420105,LOCATED_AT
center_476,440309,LOCATED_AT
center_477,530112,LOCATED_AT
center_478,420112,LOCATED_AT
center_479,210727,LOCATED_AT
center_480,130802,LOCATED_AT
center_481,210105,LOCATED_AT
center_482,440113,LOCATED_AT
center_483,230404,LOCATED_AT
center_484,410721,LOCATED_AT
center_485,440803,LOCATED_AT
center_486,210106,LOCATED_AT
center_487,230103,LOCATED_AT
center_488,320500,LOCATED_AT
center_489,320500,LOCATED_AT
center_490,320500,LOCATED_AT
center_491,120104,LOCATED_AT
center_492,340802,LOCATED_AT
center_493,410100,LOCATED_AT
center_494,610112,LOCATED_AT
center_495,610104,LOCATED_AT
center_496,320211,LOCATED_AT
center_497,440306,LOCATED_AT
center_498,110115,LOCATED_AT
center_499,341702,LOCATED_AT
center_500,440300,LOCATED_AT
center_501,441900,LOCATED_AT
center_502,440606,LOCATED_AT
center_503,610100,LOCATED_AT
center_504,360102,LOCATED_AT
center_505,420105,LOCATED_AT
center_506,341202,LOCATED_AT
center_507,320311,LOCATED_AT
center_508,320602,LOCATED_AT
center_509,320500,LOCATED_AT
center_510,370213,LOCATED_AT
center_511,320213,LOCATED_AT
center_512,440604,LOCATED_AT
center_513,320300,LOCATED_AT
center_514,120106,LOCATED_AT
center_515,430111,LOCATED_AT
center_516,120116,LOCATED_AT
center_517,330106,LOCATED_AT
center_518,511011,LOCATED_AT
center_519,120101,LOCATED_AT
center_520,511504,LOCATED_AT
center_521,320312,LOCATED_AT
center_522,120104,LOCATED_AT
center_523,510107,LOCATED_AT
center_524,110105,LOCATED_AT
center_525,120110,LOCATED_AT
center_526,430702,LOCATED_AT
center_527,320213,LOCATED_AT
center_528,330108,LOCATED_AT
center_529,371302,LOCATED_AT
center_530,440113,LOCATED_AT
center_531,120105,LOCATED_AT
center_532,330600,LOCATED_AT
center_533,130802,LOCATED_AT
center_534,130900,LOCATED_AT
center_535,360925,LOCATED_AT
center_536,341222,LOCATED_AT
center_537,440700,LOCATED_AT
center_538,310114,LOCATED_AT
center_539,310112,LOCATED_AT
center_540,310151,LOCATED_AT
center_541,340111,LOCATED_AT
center_542,440700,LOCATED_AT
center_543,440700,LOCATED_AT
center_544,120102,LOCATED_AT
center_545,510107,LOCATED_AT
center_546,440306,LOCATED_AT
center_547,110101,LOCATED_AT
center_548,330110,LOCATED_AT
center_549,420102,LOCATED_AT
center_550,341502,LOCATED_AT
center_551,371326,LOCATED_AT
center_552,150105,LOCATED_AT
center_553,440304,LOCATED_AT
center_554,130626,LOCATED_AT
center_555,350205,LOCATED_AT
center_556,110106,LOCATED_AT
center_557,110105,LOCATED_AT
center_558,410811,LOCATED_AT
center_559,120112,LOCATED_AT
center_560,120111,LOCATED_AT
center_561,360102,LOCATED_AT
center_562,370700,LOCATED_AT
center_563,370705,LOCATED_AT
center_564,370522,LOCATED_AT
center_565,371602,LOCATED_AT
center_566,610500,LOCATED_AT
center_567,230404,LOCATED_AT
center_568,330104,LOCATED_AT
center_569,350103,LOCATED_AT
center_570,440605,LOCATED_AT
center_571,441900,LOCATED_AT
center_572,360902,LOCATED_AT
center_573,320106,LOCATED_AT
center_574,360900,LOCATED_AT
center_575,440605,LOCATED_AT
center_576,210103,LOCATED_AT
center_577,510100,LOCATED_AT
center_578,440106,LOCATED_AT
center_579,370200,LOCATED_AT
center_580,360600,LOCATED_AT
center_581,330106,LOCATED_AT
center_582,330127,LOCATED_AT
center_583,310117,LOCATED_AT
center_584,441402,LOCATED_AT
center_585,330110,LOCATED_AT
center_586,330600,LOCATED_AT
center_587,320509,LOCATED_AT
center_588,330122,LOCATED_AT
center_589,440105,LOCATED_AT
center_590,120103,LOCATED_AT
center_591,440310,LOCATED_AT
center_592,440307,LOCATED_AT
center_593,460203,LOCATED_AT
center_594,120102,LOCATED_AT
center_595,120102,LOCATED_AT
center_596,350111,LOCATED_AT
center_597,110105,LOCATED_AT
center_598,442000,LOCATED_AT
center_599,340302,LOCATED_AT
center_600,370114,LOCATED_AT
center_601,230404,LOCATED_AT
center_602,440113,LOCATED_AT
center_603,341222,LOCATED_AT
center_604,140403,LOCATED_AT
center_605,310110,LOCATED_AT
center_606,310117,LOCATED_AT
center_607,310116,LOCATED_AT
center_608,310115,LOCATED_AT
center_609,440515,LOCATED_AT
center_610,310106,LOCATED_AT
center_611,420202,LOCATED_AT
center_612,321100,LOCATED_AT
center_613,370213,LOCATED_AT
center_614,230506,LOCATED_AT
center_615,310109,LOCATED_AT
center_616,310105,LOCATED_AT
center_617,330300,LOCATED_AT
center_618,310105,LOCATED_AT
center_619,510116,LOCATED_AT
center_620,340304,LOCATED_AT
center_621,341226,LOCATED_AT
center_622,430202,LOCATED_AT
center_623,341802,LOCATED_AT
center_624,421202,LOCATED_AT
center_625,341202,LOCATED_AT
center_626,371311,LOCATED_AT
center_627,310120,LOCATED_AT
center_628,340103,LOCATED_AT
center_629,110105,LOCATED_AT
center_630,440106,LOCATED_AT
center_631,110119,LOCATED_AT
center_632,310112,LOCATED_AT
center_633,310117,LOCATED_AT
center_634,310104,LOCATED_AT
center_635,310110,LOCATED_AT
center_636,230302,LOCATED_AT
center_637,110101,LOCATED_AT
center_638,410102,LOCATED_AT
center_639,310115,LOCATED_AT
center_640,110106,LOCATED_AT
center_641,210602,LOCATED_AT
center_642,440113,LOCATED_AT
center_643,110106,LOCATED_AT
center_644,110106,LOCATED_AT
center_645,110105,LOCATED_AT
center_646,360100,LOCATED_AT
center_647,110114,LOCATED_AT
center_648,411302,LOCATED_AT
center_649,110105,LOCATED_AT
center_650,110108,LOCATED_AT
center_651,370102,LOCATED_AT
center_652,110112,LOCATED_AT
center_653,441900,LOCATED_AT
center_654,440106,LOCATED_AT
center_655,440113,LOCATED_AT
center_656,440113,LOCATED_AT
center_657,440309,LOCATED_AT
center_658,410102,LOCATED_AT
center_659,440113,LOCATED_AT
center_660,430121,LOCATED_AT
center_661,440106,LOCATED_AT
center_662,510107,LOCATED_AT
center_663,140105,LOCATED_AT
center_664,440105,LOCATED_AT
center_665,440106,LOCATED_AT
center_666,410100,LOCATED_AT
center_667,440112,LOCATED_AT
center_668,110102,LOCATED_AT
center_669,440113,LOCATED_AT
center_670,130203,LOCATED_AT
center_671,110114,LOCATED_AT
center_672,441602,LOCATED_AT
center_673,441622,LOCATED_AT
center_674,441600,LOCATED_AT
center_675,110105,LOCATED_AT
center_676,110116,LOCATED_AT
center_677,430104,LOCATED_AT
center_678,320106,LOCATED_AT
center_679,500106,LOCATED_AT
center_680,110115,LOCATED_AT
center_681,110105,LOCATED_AT
center_682,210800,LOCATED_AT
center_683,500000,LOCATED_AT
center_684,410105,LOCATED_AT
center_685,340503,LOCATED_AT
center_686,430111,LOCATED_AT
center_687,110112,LOCATED_AT
center_688,110114,LOCATED_AT
center_689,110114,LOCATED_AT
center_690,110114,LOCATED_AT
center_691,110105,LOCATED_AT
center_692,110105,LOCATED_AT
center_693,110108,LOCATED_AT
center_694,110105,LOCATED_AT
center_695,510603,LOCATED_AT
center_696,110112,LOCATED_AT
center_697,510112,LOCATED_AT
center_698,441204,LOCATED_AT
center_699,110105,LOCATED_AT
center_700,110106,LOCATED_AT
center_701,440112,LOCATED_AT
center_702,510105,LOCATED_AT
center_703,110108,LOCATED_AT
center_704,310110,LOCATED_AT
center_705,110115,LOCATED_AT
center_706,440309,LOCATED_AT
center_707,441521,LOCATED_AT
center_708,440303,LOCATED_AT
center_709,110105,LOCATED_AT
center_710,440303,LOCATED_AT
center_711,440100,LOCATED_AT
center_712,331100,LOCATED_AT
center_713,440307,LOCATED_AT
center_714,460107,LOCATED_AT
center_715,440304,LOCATED_AT
center_716,350111,LOCATED_AT
center_717,120102,LOCATED_AT
center_718,440304,LOCATED_AT
center_719,230103,LOCATED_AT
center_720,440309,LOCATED_AT
center_721,440300,LOCATED_AT
center_722,341322,LOCATED_AT
center_723,440307,LOCATED_AT
center_724,120110,LOCATED_AT
center_725,120112,LOCATED_AT
center_726,320200,LOCATED_AT
center_727,430725,LOCATED_AT
center_728,110105,LOCATED_AT
center_729,330302,LOCATED_AT
center_730,370105,LOCATED_AT
center_731,410103,LOCATED_AT
center_732,110111,LOCATED_AT
center_733,510108,LOCATED_AT
center_734,370200,LOCATED_AT
center_735,440118,LOCATED_AT
center_736,320200,LOCATED_AT
center_737,131000,LOCATED_AT
center_738,371102,LOCATED_AT
center_739,110102,LOCATED_AT
center_740,321003,LOCATED_AT
center_741,110101,LOCATED_AT
center_742,110108,LOCATED_AT
center_743,110108,LOCATED_AT
center_744,110106,LOCATED_AT
center_745,110106,LOCATED_AT
center_746,120116,LOCATED_AT
center_747,120102,LOCATED_AT
center_748,120104,LOCATED_AT
center_749,210105,LOCATED_AT
center_750,320508,LOCATED_AT
center_751,440114,LOCATED_AT
center_752,440105,LOCATED_AT
center_753,440402,LOCATED_AT
center_754,330200,LOCATED_AT
center_755,120101,LOCATED_AT
center_756,320214,LOCATED_AT
center_757,320205,LOCATED_AT
center_758,500112,LOCATED_AT
center_759,370104,LOCATED_AT
center_760,141002,LOCATED_AT
center_761,440118,LOCATED_AT
center_762,500113,LOCATED_AT
center_763,410100,LOCATED_AT
center_764,440113,LOCATED_AT
center_765,440113,LOCATED_AT
center_766,320106,LOCATED_AT
center_767,350502,LOCATED_AT
center_768,350206,LOCATED_AT
center_769,450107,LOCATED_AT
center_770,450103,LOCATED_AT
center_771,500108,LOCATED_AT
center_772,110101,LOCATED_AT
center_773,330205,LOCATED_AT
center_774,460107,LOCATED_AT
center_775,440309,LOCATED_AT
center_776,511421,LOCATED_AT
center_777,310115,LOCATED_AT
center_778,321323,LOCATED_AT
center_779,441700,LOCATED_AT
center_780,441300,LOCATED_AT
center_781,441302,LOCATED_AT
center_782,530112,LOCATED_AT
center_783,450107,LOCATED_AT
center_784,441303,LOCATED_AT
center_785,441303,LOCATED_AT
center_786,500151,LOCATED_AT
center_787,469024,LOCATED_AT
center_788,440802,LOCATED_AT
center_789,441300,LOCATED_AT
center_790,510115,LOCATED_AT
center_791,370100,LOCATED_AT
center_792,440304,LOCATED_AT
center_793,310107,LOCATED_AT
center_794,320411,LOCATED_AT
center_795,510106,LOCATED_AT
center_796,422828,LOCATED_AT
center_797,650109,LOCATED_AT
center_798,361104,LOCATED_AT
center_799,110105,LOCATED_AT
center_800,440106,LOCATED_AT
center_801,370900,LOCATED_AT
center_802,500107,LOCATED_AT
center_803,440402,LOCATED_AT
center_804,140106,LOCATED_AT
center_805,320104,LOCATED_AT
center_806,150200,LOCATED_AT
center_807,500106,LOCATED_AT
center_808,500107,LOCATED_AT
center_809,510105,LOCATED_AT
center_810,510105,LOCATED_AT
center_811,431121,LOCATED_AT
center_812,430224,LOCATED_AT
center_813,430104,LOCATED_AT
center_814,430300,LOCATED_AT
center_815,110108,LOCATED_AT
center_816,430302,LOCATED_AT
center_817,430111,LOCATED_AT
center_818,430111,LOCATED_AT
center_819,430111,LOCATED_AT
center_820,430112,LOCATED_AT
center_821,430903,LOCATED_AT
center_822,510321,LOCATED_AT
center_823,611021,LOCATED_AT
center_824,360700,LOCATED_AT
center_825,440703,LOCATED_AT
center_826,440114,LOCATED_AT
center_827,430111,LOCATED_AT
center_828,340100,LOCATED_AT
center_829,620103,LOCATED_AT
center_830,410900,LOCATED_AT
center_831,140403,LOCATED_AT
center_832,360722,LOCATED_AT
center_833,120104,LOCATED_AT
center_834,440308,LOCATED_AT
center_835,450200,LOCATED_AT
center_836,350503,LOCATED_AT
center_837,511323,LOCATED_AT
center_838,440106,LOCATED_AT
center_839,320102,LOCATED_AT
center_840,440114,LOCATED_AT
center_841,411721,LOCATED_AT
center_842,411525,LOCATED_AT
center_843,440303,LOCATED_AT
center_844,110112,LOCATED_AT
center_845,500112,LOCATED_AT
center_846,350402,LOCATED_AT
center_847,640104,LOCATED_AT
center_848,350503,LOCATED_AT
center_849,510600,LOCATED_AT
center_850,411725,LOCATED_AT
center_851,320106,LOCATED_AT
center_852,210703,LOCATED_AT
center_853,320311,LOCATED_AT
center_854,370100,LOCATED_AT
center_855,440307,LOCATED_AT
center_856,210202,LOCATED_AT
center_857,340202,LOCATED_AT
center_858,130102,LOCATED_AT
center_859,110112,LOCATED_AT
center_860,320508,LOCATED_AT
center_861,110108,LOCATED_AT
center_862,130531,LOCATED_AT
center_863,500000,LOCATED_AT
center_864,330502,LOCATED_AT
center_865,511132,LOCATED_AT
center_866,331002,LOCATED_AT
center_867,410105,LOCATED_AT
center_868,410102,LOCATED_AT
center_869,430121,LOCATED_AT
center_870,411525,LOCATED_AT
center_871,510106,LOCATED_AT
