nodeId:ID,name,level,:LABEL
530303,沾益区,District,District
530304,马龙区,District,District
530322,陆良县,District,District
530323,师宗县,District,District
530324,罗平县,District,District
530325,富源县,District,District
530326,会泽县,District,District
530381,宣威市,District,District
530400,玉溪市,City,City
530402,红塔区,District,District
530403,江川区,District,District
530423,通海县,District,District
530424,华宁县,District,District
530425,易门县,District,District
530426,峨山彝族自治县,District,District
530427,新平彝族傣族自治县,District,District
530428,元江哈尼族彝族傣族自治县,District,District
530481,澄江市,District,District
530500,保山市,City,City
530502,隆阳区,District,District
530521,施甸县,District,District
530523,龙陵县,District,District
530524,昌宁县,District,District
530581,腾冲市,District,District
530600,昭通市,City,City
530602,昭阳区,District,District
530621,鲁甸县,District,District
530622,巧家县,District,District
530623,盐津县,District,District
530624,大关县,District,District
530625,永善县,District,District
530626,绥江县,District,District
530627,镇雄县,District,District
530628,彝良县,District,District
530629,威信县,District,District
530681,水富市,District,District
530700,丽江市,City,City
530702,古城区,District,District
530721,玉龙纳西族自治县,District,District
530722,永胜县,District,District
530723,华坪县,District,District
530724,宁蒗彝族自治县,District,District
530800,普洱市,City,City
530802,思茅区,District,District
530821,宁洱哈尼族彝族自治县,District,District
530822,墨江哈尼族自治县,District,District
530823,景东彝族自治县,District,District
530824,景谷傣族彝族自治县,District,District
530825,镇沅彝族哈尼族拉祜族自治县,District,District
530826,江城哈尼族彝族自治县,District,District
530827,孟连傣族拉祜族佤族自治县,District,District
530828,澜沧拉祜族自治县,District,District
530829,西盟佤族自治县,District,District
530900,临沧市,City,City
530902,临翔区,District,District
530921,凤庆县,District,District
530922,云县,District,District
530923,永德县,District,District
530924,镇康县,District,District
530925,双江拉祜族佤族布朗族傣族自治县,District,District
530926,耿马傣族佤族自治县,District,District
530927,沧源佤族自治县,District,District
532300,楚雄彝族自治州,City,City
532301,楚雄市,District,District
532322,双柏县,District,District
532323,牟定县,District,District
532324,南华县,District,District
532325,姚安县,District,District
532326,大姚县,District,District
532327,永仁县,District,District
532328,元谋县,District,District
532329,武定县,District,District
532331,禄丰县,District,District
532500,红河哈尼族彝族自治州,City,City
532501,个旧市,District,District
532502,开远市,District,District
532503,蒙自市,District,District
532504,弥勒市,District,District
532523,屏边苗族自治县,District,District
532524,建水县,District,District
532525,石屏县,District,District
532527,泸西县,District,District
532528,元阳县,District,District
532529,红河县,District,District
532530,金平苗族瑶族傣族自治县,District,District
532531,绿春县,District,District
532532,河口瑶族自治县,District,District
532600,文山壮族苗族自治州,City,City
532601,文山市,District,District
532622,砚山县,District,District
532623,西畴县,District,District
532624,麻栗坡县,District,District
532625,马关县,District,District
532626,丘北县,District,District
532627,广南县,District,District
532628,富宁县,District,District
532800,西双版纳傣族自治州,City,City
532801,景洪市,District,District
532822,勐海县,District,District
532823,勐腊县,District,District
532900,大理白族自治州,City,City
532901,大理市,District,District
532922,漾濞彝族自治县,District,District
532923,祥云县,District,District
532924,宾川县,District,District
532925,弥渡县,District,District
532926,南涧彝族自治县,District,District
532927,巍山彝族回族自治县,District,District
532928,永平县,District,District
532929,云龙县,District,District
532930,洱源县,District,District
532931,剑川县,District,District
532932,鹤庆县,District,District
533100,德宏傣族景颇族自治州,City,City
533102,瑞丽市,District,District
533103,芒市,District,District
533122,梁河县,District,District
533123,盈江县,District,District
533124,陇川县,District,District
533300,怒江傈僳族自治州,City,City
533301,泸水市,District,District
533323,福贡县,District,District
533324,贡山独龙族怒族自治县,District,District
533325,兰坪白族普米族自治县,District,District
533400,迪庆藏族自治州,City,City
533401,香格里拉市,District,District
533422,德钦县,District,District
533423,维西傈僳族自治县,District,District
540000,西藏自治区,Province,Province
540100,拉萨市,City,City
540102,城关区,District,District
540103,堆龙德庆区,District,District
540104,达孜区,District,District
540121,林周县,District,District
540122,当雄县,District,District
540123,尼木县,District,District
540124,曲水县,District,District
540127,墨竹工卡县,District,District
540200,日喀则市,City,City
540202,桑珠孜区,District,District
540221,南木林县,District,District
540222,江孜县,District,District
540223,定日县,District,District
540224,萨迦县,District,District
540225,拉孜县,District,District
540226,昂仁县,District,District
540227,谢通门县,District,District
540228,白朗县,District,District
540229,仁布县,District,District
540230,康马县,District,District
540231,定结县,District,District
540232,仲巴县,District,District
540233,亚东县,District,District
540234,吉隆县,District,District
540235,聂拉木县,District,District
540236,萨嘎县,District,District
540237,岗巴县,District,District
540300,昌都市,City,City
540302,卡若区,District,District
540321,江达县,District,District
540322,贡觉县,District,District
540323,类乌齐县,District,District
540324,丁青县,District,District
540325,察雅县,District,District
540326,八宿县,District,District
540327,左贡县,District,District
540328,芒康县,District,District
540329,洛隆县,District,District
540330,边坝县,District,District
540400,林芝市,City,City
540402,巴宜区,District,District
540421,工布江达县,District,District
540422,米林县,District,District
540423,墨脱县,District,District
540424,波密县,District,District
540425,察隅县,District,District
