:START_ID,:END_ID,:TYPE
expert_188,411700,LOCATED_AT
expert_189,411700,LOCATED_AT
expert_190,410700,LOCATED_AT
expert_191,110106,LOCATED_AT
expert_192,110106,LOCATED_AT
expert_193,320100,LOCATED_AT
expert_194,110106,LOCATED_AT
expert_195,110105,LOCATED_AT
expert_196,110105,LOCATED_AT
expert_197,110105,LOCATED_AT
expert_198,110105,LOCATED_AT
expert_199,110105,LOCATED_AT
expert_200,110105,LOCATED_AT
expert_201,320600,LOCATED_AT
expert_202,110105,LOCATED_AT
expert_203,371300,LOCATED_AT
expert_204,440300,LOCATED_AT
expert_205,440300,LOCATED_AT
expert_206,440300,LOCATED_AT
expert_207,440300,LOCATED_AT
expert_208,370100,LOCATED_AT
expert_209,370100,LOCATED_AT
expert_210,370100,LOCATED_AT
expert_211,350200,LOCATED_AT
expert_212,120114,LOCATED_AT
expert_213,500103,LOCATED_AT
expert_214,110105,LOCATED_AT
expert_215,370100,LOCATED_AT
expert_216,370100,LOCATED_AT
expert_217,440111,LOCATED_AT
expert_218,110105,LOCATED_AT
expert_219,420111,LOCATED_AT
expert_220,110105,LOCATED_AT
expert_221,110105,LOCATED_AT
expert_222,110105,LOCATED_AT
expert_223,445300,LOCATED_AT
expert_224,340200,LOCATED_AT
expert_225,310117,LOCATED_AT
expert_226,310117,LOCATED_AT
expert_227,310117,LOCATED_AT
expert_228,310117,LOCATED_AT
expert_229,310117,LOCATED_AT
expert_230,310117,LOCATED_AT
expert_231,441900,LOCATED_AT
expert_232,440111,LOCATED_AT
expert_233,420600,LOCATED_AT
expert_234,420600,LOCATED_AT
expert_235,420600,LOCATED_AT
expert_236,310117,LOCATED_AT
expert_237,370303,LOCATED_AT
expert_238,340200,LOCATED_AT
expert_239,320800,LOCATED_AT
expert_240,320800,LOCATED_AT
expert_241,320800,LOCATED_AT
expert_242,320800,LOCATED_AT
expert_243,440111,LOCATED_AT
expert_244,340200,LOCATED_AT
expert_245,340200,LOCATED_AT
expert_246,440100,LOCATED_AT
expert_247,110101,LOCATED_AT
expert_248,440100,LOCATED_AT
expert_249,441900,LOCATED_AT
expert_250,110105,LOCATED_AT
expert_251,440600,LOCATED_AT
expert_252,440600,LOCATED_AT
expert_253,230506,LOCATED_AT
expert_254,440100,LOCATED_AT
expert_255,430100,LOCATED_AT
expert_256,441900,LOCATED_AT
expert_257,440606,LOCATED_AT
